link,nces_id,link_proc
https://www.facebook.com/whitesburgelem/photos/a.1415765325185126/2895314373896873/?type=3,0101800,whitesburgelem/photos/a.1415765325185126/2895314373896873
https://www.facebook.com/leehighhsv/photos/a.205849709598211/1378732132309957/?type=3,0101800,leehighhsv/photos/a.205849709598211/1378732132309957
https://www.facebook.com/194325677417281/posts/1378734685643035/,0101800,194325677417281/posts/1378734685643035
https://www.facebook.com/maejemisonhs/photos/a.206865653358719/540375456674402/?type=3,0101800,maejemisonhs/photos/a.206865653358719/540375456674402
https://www.facebook.com/troupe2879/photos/a.2193194907624359/2630636337213545/?type=3,0101800,troupe2879/photos/a.2193194907624359/2630636337213545
https://www.facebook.com/2177040912573092/posts/2630636620546850/,0101800,2177040912573092/posts/2630636620546850
https://www.facebook.com/jcboeal/,0101830,jcboeal
https://www.facebook.com/jacksonville-city-schools-243785715643405/,0101860,jacksonville-city-schools-243785715643405
https://www.facebook.com/jasper-city-schools-211955125502599/,0101890,jasper-city-schools-211955125502599
https://www.facebook.com/jefcoed/,0101920,jefcoed
https://www.facebook.com/llaudcoss/,0102010,llaudcoss
https://www.facebook.com/lawrence-county-alabama-schools-444351355673109/,0102040,lawrence-county-alabama-schools-444351355673109
https://www.facebook.com/leecoschools,0102070,leecoschools
https://www.facebook.com/limestonecountyschools/?ref=settings,0102100,limestonecountyschools
https://www.facebook.com/lowndes-county-public-schools-507498469404564/,0102160,lowndes-county-public-schools-507498469404564
https://www.facebook.com/madcoschools,0102220,madcoschools
https://www.facebook.com/marioncoschools/,0102310,marioncoschools
https://www.facebook.com/mobilecountypublicschools,0102370,mobilecountypublicschools
https://www.facebook.com/mcboeschools,0102400,mcboeschools
https://www.facebook.com/montgomerypublicschools/,0102430,montgomerypublicschools
/facebook,0102490,NA
https://www.facebook.com/muscleshoalscityschools/,0102520,muscleshoalscityschools
https://www.facebook.com/opelikaschools?_rdr,0102580,opelikaschools
https://www.facebook.com/opp-city-schools-119452261440807,0102610,opp-city-schools-119452261440807
https://www.facebook.com/pelhamcityschoolsal/,0100194,pelhamcityschoolsal
https://www.facebook.com/phenixcityschools/,0102700,phenixcityschools
https://www.facebook.com/pickens.countyschools/,0102730,pickens.countyschools
https://www.facebook.com/pikeco.schoolsal,0102790,pikeco.schoolsal
https://www.facebook.com/pikeroadschools,0100195,pikeroadschools
https://www.facebook.com/roanokecityschools/,0102850,roanokecityschools
http://facebook.com/russellcsd/,0102880,russellcsd
https://www.facebook.com/russellvillek12/,0102910,russellvillek12
https://www.facebook.com/scottsboro-city-schools-201213873233894/,0102940,scottsboro-city-schools-201213873233894
https://www.facebook.com/selmacityschools,0102970,selmacityschools
https://www.facebook.com/shelbyalschools,0103030,shelbyalschools
https://www.facebook.com/edlio/,0103150,edlio
